Feature Subset,Number of Features,Test Accuracy Mean,Test Accuracy Std,Test Accuracy Count,Test Accuracy 95% CI Half-Width,Balanced Accuracy Mean,Balanced Accuracy Std,Balanced Accuracy Count,Balanced Accuracy 95% CI Half-Width,Precision Mean,Precision Std,Precision Count,Precision 95% CI Half-Width,Recall Mean,Recall Std,Recall Count,Recall 95% CI Half-Width,Specificity Mean,Specificity Std,Specificity Count,Specificity 95% CI Half-Width,F1 Mean,F1 Std,F1 Count,F1 95% CI Half-Width,F2 Mean,F2 Std,F2 Count,F2 95% CI Half-Width,MCC Mean,MCC Std,MCC Count,MCC 95% CI Half-Width,ROC-AUC Mean,ROC-AUC Std,ROC-AUC Count,ROC-AUC 95% CI Half-Width,PR-AUC Mean,PR-AUC Std,PR-AUC Count,PR-AUC 95% CI Half-Width
Full 16-Feature Set,16,0.8830793372116033,0.009291453346131386,15,0.004702124158692991,0.5804351135019009,0.025343307223937492,15,0.012825483023974063,0.897017161716765,0.012168831759410784,15,0.006158278545607721,0.9796753342990524,0.01432679764284419,15,0.0072503599602286445,0.18119489270474945,0.06180930906163701,15,0.031279826152477486,0.9363829067554216,0.0056189920604012,15,0.002843602322527658,0.9618488728285354,0.00962275299552573,15,0.004869784913921588,0.27258704048382415,0.04816073961551313,15,0.024372697016330113,0.8707918388133103,0.015524983148093122,15,0.007856725487874819,0.9807331169041582,0.0034203124282723148,15,0.0017309169082739234
HTML/JavaScript Features Only,4,0.8807064928285094,0.012132927262314117,15,0.0061401083630846336,0.557560905114736,0.016872949711531988,15,0.008538890689263393,0.8917965764451714,0.011411604348220836,15,0.005775068602971212,0.9835914389796787,0.0031205832142989346,15,0.0015792329977394,0.13153037124979342,0.0347954729455423,15,0.01760893886622215,0.9354191431290626,0.007126818536891603,15,0.0036066678019636023,0.9637313950802362,0.004438976869715426,15,0.0022464322427727494,0.2162431329337456,0.050857488725971116,15,0.025737440363774032,0.5781625292476152,0.01665106375649719,15,0.008426600903072066,0.8963943256189683,0.010295274781347945,15,0.005210127895644533
Address-Bar Features Only,8,0.8779321851424302,0.012956402416930227,15,0.006556844289570886,0.5023500199074975,0.004106431469003887,15,0.0020781410503944307,0.8795955163444675,0.013176693541058368,15,0.006668326979966125,0.9977537476815325,0.0023240978911269546,15,0.0011761558104992885,0.006946292133462532,0.008665945341332847,15,0.004385573432853779,0.9349030245429817,0.0073315202830861355,15,0.0037102611786131996,0.9716106098437408,0.0033534683312829634,15,0.0016970891278814714,0.024763447197514808,0.04389076937299433,15,0.022211793927621445,0.8414392991406837,0.01704919283497591,15,0.008628082015709027,0.9746924563078375,0.004637825840798597,15,0.0023470637065523877
URL-Only Features,8,0.8779321851424302,0.012956402416930227,15,0.006556844289570886,0.5023500199074975,0.004106431469003887,15,0.0020781410503944307,0.8795955163444675,0.013176693541058368,15,0.006668326979966125,0.9977537476815325,0.0023240978911269546,15,0.0011761558104992885,0.006946292133462532,0.008665945341332847,15,0.004385573432853779,0.9349030245429817,0.0073315202830861355,15,0.0037102611786131996,0.9716106098437408,0.0033534683312829634,15,0.0016970891278814714,0.024763447197514808,0.04389076937299433,15,0.022211793927621445,0.8414392991406837,0.01704919283497591,15,0.008628082015709027,0.9746924563078375,0.004637825840798597,15,0.0023470637065523877
Domain Features Only,4,0.8791449226700602,0.012621346046235046,15,0.0063872823710551165,0.5,0.0,15,0.0,0.8791449226700602,0.012621346046235046,15,0.0063872823710551165,1.0,0.0,15,0.0,0.0,0.0,15,0.0,0.9356411477890166,0.007176287094656081,15,0.0036317023462802776,0.973209417829716,0.0031141293750596506,15,0.0015759669044520682,0.0,0.0,15,0.0,0.615302443993711,0.03589331793086273,15,0.018164525084617626,0.9097232513528665,0.013373506320584056,15,0.006767927988642832
