Model,Train Accuracy,Test Accuracy,Precision,Recall,F1,F2,MCC,ROC-AUC,PR-AUC,TN,FP,FN,TP
Multilayer Perceptron,0.868625,0.8465,0.9343065693430657,0.752203721841332,0.8334237655995659,0.7827150428047289,0.7082013113741152,0.9066678405176684,0.9292788092024306,925,54,253,768
XGBoost,0.8715,0.8455,0.9352078239608802,0.7492654260528894,0.831973898858075,0.7802937576499388,0.7067795154945098,0.9105825669120082,0.9323063761971453,926,53,256,765
Random Forest,0.82125,0.7965,0.9694189602446484,0.6209598432908913,0.7570149253731343,0.669058674546222,0.6399235954335614,0.8583925511150416,0.8959348087019812,959,20,387,634
Decision Tree,0.81875,0.7915,0.9617737003058104,0.6160626836434868,0.751044776119403,0.6637821865766146,0.6292629284053846,0.8345620418604606,0.8483855255685443,954,25,392,629
SVM,0.807625,0.78,0.9574803149606299,0.5954946131243879,0.7342995169082126,0.6442042805679169,0.6098664082755546,0.8446875071906711,0.8863954768668509,952,27,413,608
