Model,Train Accuracy,Test Accuracy,Precision,Recall,F1,F2,MCC,ROC-AUC,PR-AUC,TN,FP,FN,TP
Multilayer Perceptron,0.855625,0.8705,0.9469240048250904,0.785,0.8583925642427556,0.8127976806792296,0.752077325338597,0.9193145,0.938666865676899,956,44,215,785
XGBoost,0.865625,0.8665,0.9276546091015169,0.795,0.8562197092084006,0.8184064237183447,0.7406114950847302,0.9262765000000001,0.9432295985087616,938,62,205,795
Random Forest,0.820125,0.818,0.9803625377643505,0.649,0.7809867629362214,0.696053196053196,0.6757717992715978,0.8872414999999999,0.9125018407160734,987,13,351,649
Decision Tree,0.814125,0.81,0.9725609756097561,0.638,0.7705314009661836,0.6851374570446735,0.6602982335725284,0.8514849999999999,0.8594657961546383,982,18,362,638
SVM,0.804,0.7945,0.9652448657187994,0.611,0.7483159828536436,0.6593999568314267,0.6331829071187939,0.8584944999999999,0.8947500602487582,978,22,389,611
