Model,Train Accuracy,Test Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1,F2,MCC,ROC-AUC,PR-AUC,TN,FP,FN,TP
XGBoost,0.9022577879394112,0.8868571428571429,0.6224881615428025,0.9065533980582524,0.9713914174252276,0.27358490566037735,0.9378531073446328,0.9576923076923077,0.34118625001336594,0.8774014279755625,0.981640845159919,29,77,22,747
Decision Tree,0.8896827665047157,0.9005714285714286,0.5977562136565499,0.9002347417840375,0.9973992197659298,0.19811320754716982,0.946329426280074,0.9763238289205702,0.3987555628224601,0.891724121009888,0.9789014670852895,21,85,2,767
Random Forest,0.8791083166619034,0.8788571428571429,0.5,0.8788571428571429,1.0,0.0,0.9355231143552312,0.9731713490255631,0.0,0.8932575999214859,0.9840391259496017,0,106,0,769
