Model,Train Accuracy,Test Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1,F2,MCC,ROC-AUC,PR-AUC,TN,FP,FN,TP
XGBoost,0.9068110572812768,0.8751445086705202,0.5520596186681844,0.8825622775800712,0.9880478087649402,0.11607142857142858,0.9323308270676691,0.9649805447470817,0.22203035330264734,0.8572436444697402,0.9770107252514717,13,99,9,744
Decision Tree,0.8956967797093189,0.8774566473988439,0.5343862644659457,0.8783625730994152,0.99734395750332,0.07142857142857142,0.9340796019900498,0.9710369795707267,0.21599238339532226,0.8348747865680137,0.9647959466465608,8,104,2,751
Random Forest,0.8828726132801368,0.8705202312138728,0.5,0.8705202312138728,1.0,0.0,0.930778739184178,0.9711116842919784,0.0,0.8555124739138683,0.9761539019307885,0,112,0,753
