Model,Train Accuracy,Test Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1,F2,MCC,ROC-AUC,PR-AUC,TN,FP,FN,TP
XGBoost — Full 16 Features,0.9068110572812768,0.8751445086705202,0.5520596186681844,0.8825622775800712,0.9880478087649402,0.11607142857142858,0.9323308270676691,0.9649805447470817,0.22203035330264734,0.8572436444697402,0.9770107252514717,13,99,9,744
XGBoost — URL-Only Features,0.8828726132801368,0.8682080924855491,0.49867197875166,0.8702201622247973,0.99734395750332,0.0,0.9294554455445545,0.9690322580645161,-0.01856611872048566,0.860332479605388,0.9757725892689343,0,112,2,751
