Model,Train Accuracy,Test Accuracy,Precision,Recall,F1,F2,MCC,ROC-AUC,PR-AUC,TN,FP,FN,TP
XGBoost,0.86675,0.863,0.9115250291036089,0.7981651376146789,0.8510869565217392,0.8185239389504495,0.730752103602454,0.9181589553828932,0.936052925693039,943,76,198,783
Random Forest,0.81,0.8215,0.9829721362229102,0.6472986748216106,0.7805777504609711,0.6947483588621444,0.6804512092365376,0.880488356296623,0.906610588240208,1008,11,346,635
Decision Tree,0.812375,0.817,0.9723502304147466,0.6452599388379205,0.7757352941176471,0.6918032786885245,0.6695838812199334,0.8453026542581873,0.8534819739468633,1001,18,348,633
