Evaluation Method,Model,Test Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1,F2,MCC,ROC-AUC,PR-AUC,TN,FP,FN,TP
Controlled random split,XGBoost,0.8665,0.8665,0.9276546091015169,0.795,0.938,0.8562197092084006,0.8184064237183447,0.7406114950847302,0.9262765000000001,0.9432295985087616,938,62,205,795
Controlled random split,Random Forest,0.818,0.8180000000000001,0.9803625377643505,0.649,0.987,0.7809867629362214,0.696053196053196,0.6757717992715978,0.8872414999999999,0.9125018407160734,987,13,351,649
Controlled random split,Decision Tree,0.81,0.81,0.9725609756097561,0.638,0.982,0.7705314009661836,0.6851374570446735,0.6602982335725284,0.8514849999999999,0.8594657961546383,982,18,362,638
Deduplicated random split,XGBoost,0.8868571428571429,0.6224881615428025,0.9065533980582524,0.9713914174252276,0.27358490566037735,0.9378531073446328,0.9576923076923077,0.34118625001336594,0.8774014279755625,0.981640845159919,29,77,22,747
Deduplicated random split,Decision Tree,0.9005714285714286,0.5977562136565499,0.9002347417840375,0.9973992197659298,0.19811320754716982,0.946329426280074,0.9763238289205702,0.3987555628224601,0.891724121009888,0.9789014670852895,21,85,2,767
Deduplicated random split,Random Forest,0.8788571428571429,0.5,0.8788571428571429,1.0,0.0,0.9355231143552312,0.9731713490255631,0.0,0.8932575999214859,0.9840391259496017,0,106,0,769
Domain-aware split,XGBoost,0.8751445086705202,0.5520596186681844,0.8825622775800712,0.9880478087649402,0.11607142857142858,0.9323308270676691,0.9649805447470817,0.22203035330264734,0.8572436444697402,0.9770107252514717,13,99,9,744
Domain-aware split,Decision Tree,0.8774566473988439,0.5343862644659457,0.8783625730994152,0.99734395750332,0.07142857142857142,0.9340796019900498,0.9710369795707267,0.21599238339532226,0.8348747865680137,0.9647959466465608,8,104,2,751
Domain-aware split,Random Forest,0.8705202312138728,0.5,0.8705202312138728,1.0,0.0,0.930778739184178,0.9711116842919784,0.0,0.8555124739138683,0.9761539019307885,0,112,0,753
