Model,Threshold Selection,Repeat,Fold,Prevalence,Recall,Specificity,False Positive Rate,Expected TP per 1M URLs,Expected FP per 1M URLs,Expected FN per 1M URLs,Expected TN per 1M URLs,Expected Alerts per 1M URLs,Projected Precision
XGBoost — URL-Only Features,Default threshold,1,2,0.1,0.9948979591836735,0.01098901098901099,0.989010989010989,99489.79591836735,890109.8901098901,510.20408163264807,9890.10989010989,989599.6860282575,0.10053539559785842
XGBoost — URL-Only Features,Default threshold,1,2,0.05,0.9948979591836735,0.01098901098901099,0.989010989010989,49744.897959183676,939560.4395604396,255.10204081632403,10439.56043956044,989305.3375196232,0.05028265397203214
XGBoost — URL-Only Features,Default threshold,1,2,0.01,0.9948979591836735,0.01098901098901099,0.989010989010989,9948.979591836734,979120.8791208791,51.020408163264804,10879.12087912088,989069.8587127158,0.010058925063984286
XGBoost — URL-Only Features,Default threshold,1,2,0.005,0.9948979591836735,0.01098901098901099,0.989010989010989,4974.489795918367,984065.9340659342,25.510204081632402,10934.065934065935,989040.4238618525,0.005029612213922204
XGBoost — URL-Only Features,Default threshold,1,2,0.001,0.9948979591836735,0.01098901098901099,0.989010989010989,994.8979591836735,988021.978021978,5.102040816326481,10978.02197802198,989016.8759811617,0.0010059463931762311
XGBoost — URL-Only Features,Validation-selected threshold,1,2,0.5,0.6594387755102041,0.9560439560439561,0.04395604395604391,329719.38775510207,21978.021978021956,170280.61224489793,478021.97802197805,351697.409733124,0.9375087180917842
XGBoost — URL-Only Features,Validation-selected threshold,1,2,0.1,0.6594387755102041,0.9560439560439561,0.04395604395604391,65943.87755102041,39560.43956043952,34056.122448979586,860439.5604395604,105504.31711145994,0.6250348739886545
XGBoost — URL-Only Features,Validation-selected threshold,1,2,0.05,0.6594387755102041,0.9560439560439561,0.04395604395604391,32971.93877551021,41758.24175824172,17028.061224489793,908241.7582417583,74730.18053375193,0.44121315564892033
XGBoost — URL-Only Features,Validation-selected threshold,1,2,0.01,0.6594387755102041,0.9560439560439561,0.04395604395604391,6594.387755102041,43516.48351648347,3405.6122448979586,946483.5164835165,50110.871271585514,0.13159595089381879
XGBoost — URL-Only Features,Validation-selected threshold,1,2,0.005,0.6594387755102041,0.9560439560439561,0.04395604395604391,3297.1938775510207,43736.26373626369,1702.8061224489793,951263.7362637363,47033.45761381471,0.07010315730184731
XGBoost — URL-Only Features,Validation-selected threshold,1,2,0.001,0.6594387755102041,0.9560439560439561,0.04395604395604391,659.4387755102041,43912.08791208787,340.56122448979585,955087.9120879121,44571.526687598074,0.01479506816385743
XGBoost — Full 16 Features,Default threshold,1,3,0.5,0.9921052631578947,0.1694915254237288,0.8305084745762712,496052.63157894736,415254.23728813557,3947.368421052644,84745.7627118644,911306.868867083,0.5443310574358221
XGBoost — Full 16 Features,Default threshold,1,3,0.1,0.9921052631578947,0.1694915254237288,0.8305084745762712,99210.52631578947,747457.6271186441,789.4736842105287,152542.37288135593,846668.1534344335,0.11717758122040005
XGBoost — Full 16 Features,Default threshold,1,3,0.05,0.9921052631578947,0.1694915254237288,0.8305084745762712,49605.26315789473,788983.0508474576,394.7368421052644,161016.94915254237,838588.3140053523,0.059153296473885904
XGBoost — Full 16 Features,Default threshold,1,3,0.01,0.9921052631578947,0.1694915254237288,0.8305084745762712,9921.052631578947,822203.3898305085,78.94736842105287,167796.61016949153,832124.4424620875,0.011922558844954204
XGBoost — Full 16 Features,Default threshold,1,3,0.005,0.9921052631578947,0.1694915254237288,0.8305084745762712,4960.526315789473,826355.9322033898,39.473684210526436,168644.06779661015,831316.4585191793,0.005967073386981462
