Model,Threshold Selection,Accuracy Mean,Accuracy Std,Accuracy Count,Accuracy 95% CI Half-Width,Balanced Accuracy Mean,Balanced Accuracy Std,Balanced Accuracy Count,Balanced Accuracy 95% CI Half-Width,Precision Mean,Precision Std,Precision Count,Precision 95% CI Half-Width,Recall Mean,Recall Std,Recall Count,Recall 95% CI Half-Width,Specificity Mean,Specificity Std,Specificity Count,Specificity 95% CI Half-Width,False Positive Rate Mean,False Positive Rate Std,False Positive Rate Count,False Positive Rate 95% CI Half-Width,F1 Mean,F1 Std,F1 Count,F1 95% CI Half-Width,F2 Mean,F2 Std,F2 Count,F2 95% CI Half-Width,MCC Mean,MCC Std,MCC Count,MCC 95% CI Half-Width,TN Mean,TN Std,TN Count,TN 95% CI Half-Width,FP Mean,FP Std,FP Count,FP 95% CI Half-Width,FN Mean,FN Std,FN Count,FN 95% CI Half-Width,TP Mean,TP Std,TP Count,TP 95% CI Half-Width,Selected Threshold Mean,Selected Threshold Std,Selected Threshold Count,Selected Threshold 95% CI Half-Width
XGBoost — Full 16 Features,Validation-selected threshold,0.783766132384478,0.05898312011043384,15,0.029849577207621436,0.7367720113753976,0.08474904038241249,15,0.0428889319423974,0.9507016108570234,0.03296528574189354,15,0.01668273635035947,0.7997024191693153,0.1019339028380305,15,0.05158567225913396,0.6738416035814804,0.2620504170100804,15,0.13261580839037534,0.32615839641851974,0.26205041701008047,15,0.13261580839037537,0.8636437599272233,0.045724157488729794,15,0.023139616328500177,0.8230794600705759,0.08049542234650593,15,0.04073630421200944,0.36153784993214366,0.07035875050968517,15,0.0356064404805725,70.93333333333334,29.119131331889168,15,14.73631366537929,34.86666666666667,29.734219504197675,15,15.047591228425157,154.66666666666666,78.72253867373749,15,39.839101283928464,614.3333333333334,72.73304089679763,15,36.8079971986765,0.7739999999999999,0.19598833784546615,15,0.09918378362077812
XGBoost — Full 16 Features,Default threshold,0.8868460033822052,0.014186754445758025,15,0.007179488324140236,0.5817840582650994,0.020002087167444896,15,0.010122452730550015,0.8969367362262302,0.013108847255592432,15,0.006633992022227808,0.9844154681972094,0.0077212903642621756,15,0.003907512054957176,0.17915264833298913,0.03977110941459802,15,0.020126958337929667,0.8208473516670107,0.039771109414598015,15,0.020126958337929664,0.938584410663844,0.008113290225334928,15,0.004105891355620827,0.9655404186960034,0.00678330607713845,15,0.0034328265119473447,0.28992609718201473,0.05988331138131005,15,0.03030513684555407,18.8,4.0035698356056475,15,2.026085881694061,87.0,11.212238211627762,15,5.674175417333047,12.0,5.9521904731427595,15,3.0122239845890166,757.0,14.01020036565196,15,7.090139631911349,0.7739999999999999,0.19598833784546615,15,0.09918378362077812
XGBoost — URL-Only Features,Validation-selected threshold,0.6906665911525163,0.02261456472373039,15,0.011444548787413703,0.7955858255482112,0.02227747263647012,15,0.01127395665417432,0.9867061921309689,0.012410300799111325,15,0.006280478740007347,0.6574651865223753,0.03167275007054357,15,0.01602862305076919,0.9337064645740474,0.06508981447680717,15,0.0329399909502502,0.06629353542595263,0.06508981447680716,15,0.03293999095025019,0.7885177624646453,0.019038419726146904,15,0.0096347697182299,0.7041985857983782,0.027701271881045937,15,0.014018777782769816,0.391403012372599,0.03140777261174686,15,0.015894525954857294,98.73333333333333,11.925163470976983,15,6.034965377788931,7.066666666666666,7.176018261908069,15,3.6315662981388317,263.6666666666667,27.275490480509802,15,13.80330266437871,505.3333333333333,19.634760235964418,15,9.93655965502033,0.8813333333333335,0.04138092498218174,15,0.02094163741873538
XGBoost — URL-Only Features,Default threshold,0.8775624948238442,0.011708046189537137,15,0.005925088873404059,0.5010244825438543,0.0029491234348467937,15,0.0014924623773453617,0.8793149693069701,0.012028644073002803,15,0.006087333787833664,0.9976619583196406,0.002255427526108777,15,0.001141403810967086,0.004387006768068046,0.006165053609651959,15,0.0031199475945979734,0.995612993231932,0.00616505360965196,15,0.003119947594597974,0.9347129062829012,0.006646941912344981,15,0.003363816723083438,0.9714788620287191,0.0030677645549885392,15,0.0015525030681233197,0.011619365136132069,0.03538097922400072,15,0.01790524592545655,0.4666666666666667,0.6399404734221844,15,0.32385456269408613,105.33333333333333,10.945753688509704,15,5.539315641645435,1.8,1.7402791237532642,15,0.8807027497023803,767.2,13.883186130815114,15,7.02586156045411,0.8813333333333335,0.04138092498218174,15,0.02094163741873538
