Model,Test Accuracy Mean,Test Accuracy Std,Test Accuracy Count,Test Accuracy 95% CI Half-Width,Balanced Accuracy Mean,Balanced Accuracy Std,Balanced Accuracy Count,Balanced Accuracy 95% CI Half-Width,Precision Mean,Precision Std,Precision Count,Precision 95% CI Half-Width,Recall Mean,Recall Std,Recall Count,Recall 95% CI Half-Width,Specificity Mean,Specificity Std,Specificity Count,Specificity 95% CI Half-Width,F1 Mean,F1 Std,F1 Count,F1 95% CI Half-Width,F2 Mean,F2 Std,F2 Count,F2 95% CI Half-Width,MCC Mean,MCC Std,MCC Count,MCC 95% CI Half-Width,ROC-AUC Mean,ROC-AUC Std,ROC-AUC Count,ROC-AUC 95% CI Half-Width,PR-AUC Mean,PR-AUC Std,PR-AUC Count,PR-AUC 95% CI Half-Width
XGBoost,0.8850182913135306,0.012741691015732642,15,0.00644818532857655,0.5766613534063144,0.02418530654945683,15,0.012239453826558416,0.8963298459943251,0.01626069645149623,15,0.008229047789772181,0.9830481889081649,0.007349135390303493,15,0.0037191756528207457,0.17027451790446416,0.049687974743768085,15,0.02514558462874677,0.9375704842026092,0.0074813598027200666,15,0.0037860904379282685,0.9643057986180057,0.004696626996185702,15,0.0023768211969045177,0.2683524500313867,0.06927916165000014,15,0.035060093136462515,0.868505140859859,0.011927176808905794,15,0.006035984267360025,0.9804219830990805,0.0037271224936656004,15,0.001886184224039612
Multilayer Perceptron,0.8876856602636436,0.013648714682179524,15,0.006907202635732479,0.567715130027802,0.02596159033587565,15,0.013138377449555691,0.8942809991993188,0.016218558082301528,15,0.008207722832694197,0.9893217268250463,0.008913792829606526,15,0.004511001567599597,0.14610853323055792,0.05563686442753968,15,0.028156138183439972,0.9392814301841296,0.007944365067395749,15,0.0040204034306895176,0.9686459033042504,0.006197829595284823,15,0.003136534531875491,0.270000425869363,0.07395201516232057,15,0.03742488329057373,0.8774176524034882,0.013289876447301618,15,0.006725605433397639,0.9817080382576095,0.0040960363968571695,15,0.002072880418063667
SVM,0.8899934934138709,0.015353688384927249,15,0.007770038377243714,0.5636801541734148,0.017050850477091206,15,0.008628920898362412,0.8931640971487754,0.01675763317949069,15,0.008480532472199985,0.9937633902834077,0.0024622232851636266,15,0.0012460569043361578,0.13359691806342175,0.03459190585335269,15,0.017505919703725017,0.9406956211461449,0.008859004002922305,15,0.0044832745957275825,0.9718097222304602,0.003606673120315412,15,0.0018252284308788824,0.28194739423897996,0.053153748335555535,15,0.026899508060035285,0.7920278475653995,0.03827731454641178,15,0.019370993832037303,0.9678554437419484,0.00837343254818738,15,0.0042375415351368585
Decision Tree,0.8865569084932318,0.01840389916393113,15,0.009313658009045619,0.5398598013078765,0.02823738617003265,15,0.014290089046589974,0.8877707063127829,0.01958783888195619,15,0.00991281417366003,0.9971483908062058,0.002246001702864455,15,0.0011366336862576778,0.08257121180954709,0.05805831494969589,15,0.02938156122278087,0.9391637823739057,0.010295026495598113,15,0.0052100022457188385,0.9730815468514952,0.0037415168022231523,15,0.0018934687492365584,0.20213142428724892,0.1231930945413482,15,0.0623443076607826,0.8517754042767407,0.01644017006170306,15,0.008319873968085045,0.9698490544478691,0.006539604616266351,15,0.003309496556558548
Random Forest,0.8806919847818986,0.01850751329143115,15,0.009366093992303566,0.5069552166792485,0.007599214487631091,15,0.0038457331375675034,0.8807679621346954,0.018740031391857797,15,0.009483764386441074,0.9996564223481318,0.0005899434057370474,15,0.0002985525554549307,0.01425401101036529,0.01553864763415594,15,0.007863640671930374,0.9363532694858162,0.010449250681743582,15,0.005288050452443281,0.9733064016156239,0.004382592658537857,15,0.0022178978949511266,0.07906436400894498,0.06689970207653505,15,0.033855920449131306,0.882792010719594,0.011818692780269254,15,0.005981083774091488,0.9825420633754223,0.0036038215031724903,15,0.0018237853134935211
