Model,Train Accuracy,Test Accuracy,Precision,Recall,F1,F2,MCC,ROC-AUC,PR-AUC,TN,FP,FN,TP
Multilayer Perceptron,0.863875,0.867,0.9369797859690844,0.7872127872127872,0.8555917480998915,0.8132094943240454,0.7436192579186429,0.9273284273284274,0.9418574828068217,946,53,213,788
XGBoost,0.86775,0.86,0.919674039580908,0.7892107892107892,0.8494623655913979,0.8122558091712935,0.7274084645680434,0.927045927045927,0.9418261542762446,930,69,211,790
Random Forest,0.813,0.8215,0.9791666666666666,0.6573426573426573,0.7866108786610879,0.7035928143712575,0.6810029559510163,0.8797618797618797,0.9108376549880619,985,14,343,658
Decision Tree,0.81225,0.8175,0.9704142011834319,0.6553446553446554,0.7823494335122242,0.7008547008547008,0.6715496671424765,0.8552423552423551,0.8634246299968865,979,20,345,656
SVM,0.800875,0.807,0.9694656488549618,0.6343656343656343,0.7669082125603864,0.6814767117407169,0.6545318025310891,0.8756508756508756,0.905548810754083,979,20,366,635
