Feature,Pearson Correlation with Label,Spearman Correlation with Label,Kendall Correlation with Label
URL_Length,-0.5412873390812906,-0.5412873390812892,-0.5412873390812892
Prefix/Suffix,0.3027045578700083,0.3027045578700073,0.3027045578700072
URL_Depth,-0.11970734439953379,-0.15008795153570836,-0.13124866147651562
Have_At,0.11841924310505676,0.11841924310505735,0.11841924310505736
Web_Traffic,-0.10879311756851516,-0.10879311756851923,-0.10879311756851923
iFrame,0.09844613378596846,0.0984461337859685,0.09844613378596849
Domain_Age,-0.08507683311414299,-0.08507683311414097,-0.08507683311414097
Have_IP,0.07436677547886031,0.07436677547886003,0.07436677547886003
TinyURL,0.07292111718065505,0.07292111718065475,0.07292111718065475
Domain_End,-0.06855600820512153,-0.06855600820512128,-0.0685560082051213
Mouse_Over,0.05133800131796111,0.05133800131796105,0.05133800131796105
Web_Forwards,-0.04137622041097408,-0.04137622041097333,-0.04137622041097333
Right_Click,-0.02646677810461489,-0.026466778104640317,-0.02646677810464032
DNS_Record,0.015943469019386765,0.015943469019386602,0.015943469019386602
https_Domain,0.01414355004946078,0.01414355004946072,0.01414355004946072
Redirection,0.002599595794278299,0.0025995957942785415,0.0025995957942785415
